iteration,mean_resource_cost,mean_waiting_time,patt,label
100,483.6,0.25,7,7_100
100,483.8,0.35,8,8_100
100,484.1,0.7,9,9_100
100,484.8,1.55,10,10_100
100,485.3,11.4,11,11_100
100,481.6,98.6,12,12_100
