trial,num_qubits,energy,feasible,SubH1,SubH2,SubH3,SubH4,SubH5,A,B,C,E
0,540,1606.0441558737657,False,691.5194503788894,0.0,215.65916085106716,360.0,338.86554464380475,691.5194503788923,243.3163156559748,215.65916085106716,16.136454506847848
1,540,1425.9503418246786,False,-4.547473508864641e-13,0.0,765.878553085858,430.0,230.07178873882484,1279.9758081188036,190.88889079239624,191.4696382714645,16.433699195630346
2,540,1278.0616713642412,False,-2.2737367544323206e-12,0.0,407.34518098736,430.0,440.71649037689025,1458.1393536837052,281.3898952113142,203.67259049368,11.017912259422257
3,540,1204.121166912555,False,3.637978807091713e-12,0.0,411.0752264371185,430.0,363.0459404754374,1183.4629351721364,256.90530404743504,205.53761321855924,12.101531349181249
4,540,1853.8359298263258,False,3.410605131648481e-12,0.0,797.7719797255684,430.0,626.0639501007535,1003.0831653078097,152.06526743860235,265.9239932418561,17.887541431450096
5,540,1199.0030183045073,False,1.1368683772161603e-12,0.0,483.9215587393395,430.0,285.08145956517285,864.8859839013724,242.30942676502406,161.3071862464465,8.63883210803554
6,540,1335.0750505058568,False,5.4569682106375694e-12,0.0,419.1607733178463,430.0,485.91427718800264,1433.1401019825216,247.7067214839866,209.58038665892315,16.19714257293342
7,540,1383.709676401435,False,816.8361221688697,0.0,0.0,360.0,206.87355423256685,816.8361221688713,235.21479789391037,280.3691084341839,9.851121630122229
8,540,1440.482051947518,False,0.0,0.0,511.2782913355006,430.0,499.2037606120184,1302.1476420801591,171.56502367718468,255.6391456677503,14.682463547412306
9,540,1695.111204910385,False,718.7921056740856,0.0,432.64222662125303,360.0,183.67687261504506,718.7921056740886,288.7301442923348,216.32111331062652,18.367687261504507
10,540,1252.9550653667393,False,1.8189894035458565e-12,0.0,522.0396680246513,430.0,300.91539734208726,550.8758643355497,218.03595454194414,174.01322267488376,17.700905726005132
11,540,1131.122696069182,False,4.547473508864641e-13,165.1647816324974,187.20850772565763,430.0,348.74940671102735,1194.5461682327962,165.1647816324974,187.20850772565763,14.531225279626138
12,540,1365.1475470977239,False,-9.094947017729282e-13,0.0,501.95660403735815,430.0,433.19094306037323,1172.024427705709,203.51781144712157,167.31886801245273,19.690497411835143
13,540,1705.819507205848,False,748.318390594441,0.0,242.7201037633154,360.0,354.78101284808974,748.3183905944412,240.1046838776553,242.7201037633154,15.425261428177814
14,540,1294.9470856146509,False,-2.0463630789890885e-12,0.0,622.014444441654,430.0,242.93264117299827,868.256296470099,206.34336907285194,207.33814814721796,13.496257842944347
15,540,1299.361135246494,False,1.8189894035458565e-12,0.0,564.938175373545,430.0,304.42295987294,1447.3383111551238,206.63031160905268,188.31272512451503,8.227647564133513
16,540,1348.8590014321107,False,-2.9558577807620168e-12,0.0,643.6710907345931,430.0,275.1879106975193,733.7188089277331,296.04892237532056,214.55703024486436,8.339027596894525
17,540,897.8270082863019,False,1.5916157281026244e-12,151.06612403200725,162.65350417238432,430.0,154.1073800819063,906.5758814831337,151.06612403200725,162.65350417238432,5.503835002925225
18,540,1196.4084590977254,False,528.6856106611599,0.0,0.0,390.0,277.72284843656433,528.6856106611581,203.94510305220481,297.13584738911015,18.514856562437622
19,540,1408.806932146892,False,1003.673889797959,0.0,0.0,320.0,85.13304234893481,501.8369448989802,171.8114622822473,283.0141635783509,5.675536156595654
20,540,1715.809193704321,False,4.547473508864641e-13,0.0,430.8862806149934,430.0,854.9229130893287,1390.54648084638,190.91271826023532,215.4431403074967,18.585280719333234
21,540,1329.4570071498056,False,5.9117155615240335e-12,278.3701582932673,205.16816975254187,430.0,415.9186791039928,1470.453298658675,278.3701582932673,205.16816975254187,11.553296641777578
22,540,1131.4734332244661,False,-3.183231456205249e-12,0.0,322.17675625301547,430.0,379.29667697144487,1248.0903395303665,292.6014966346685,161.08837812650773,10.536018804762358
23,540,1019.7439972741631,False,-4.092726157978177e-12,0.0,249.9221096318326,430.0,339.8218876423225,1468.9547884108265,295.51934617244535,249.9221096318326,7.3874323400504895
24,540,998.2712623734897,False,-1.1368683772161603e-12,0.0,150.35495519063844,430.0,417.9163071828548,814.613161976045,167.1338809347609,150.35495519063844,13.930543572761827
25,540,1237.5491675427656,False,549.5147193435264,0.0,0.0,360.0,328.0344481992362,549.5147193435264,226.9670980727677,222.83580299490453,9.648072005859888
26,540,1358.6088220496167,False,4.547473508864641e-13,285.655022874083,278.7787571979556,430.0,364.1750419775822,1162.0652227762541,285.655022874083,278.7787571979556,14.006732383753162
27,540,1097.355216029986,False,-1.1368683772161603e-12,0.0,319.7228897345265,430.0,347.63232629546303,720.9991908264543,269.4624170761263,159.86144486726326,15.114448969367956
28,540,1499.0479897271289,False,-1.3642420526593924e-12,0.0,570.0925802031876,430.0,498.95540952393475,1371.8272950951448,294.64108818498886,190.0308600677292,17.81983605442624
29,540,1409.5782908624424,False,4.547473508864641e-13,252.6445770259414,452.719545639526,430.0,274.2141681969708,1109.7000827519848,252.6445770259414,226.359772819763,13.057817533189086
30,540,1415.456024364681,False,0.0,192.16713037273965,288.5717083518096,430.0,504.71718564012843,1276.950765489973,192.16713037273965,288.5717083518096,8.011383899049658
31,540,1026.9986157727835,False,1.3642420526593924e-12,0.0,399.9690507996468,430.0,197.02956497314085,1144.3494980526941,230.50897277149588,199.9845253998234,9.38236023681623
32,540,1372.6704464730028,False,4.547473508864641e-13,0.0,215.45077245271088,430.0,727.2196740202885,1241.3946140030941,285.8754821704204,215.45077245271088,12.120327900338143
33,540,972.418507552582,False,3.637978807091713e-12,0.0,327.358593116855,430.0,215.05991443572833,1189.221183275406,231.6862994748313,163.6792965584275,13.44124465223302
34,540,1541.1469772371693,False,710.7664851419894,0.0,0.0,360.0,470.3804920951842,710.7664851419896,239.96062319083762,204.80965390980438,15.173564261134972
35,540,1439.591292711466,False,-1.8189894035458565e-12,0.0,545.6617473084204,430.0,463.92954540304856,1356.5177799139597,193.01873563262174,181.88724910280683,16.56891233582316
36,540,1238.2720944143857,False,573.1024323979742,0.0,0.0,360.0,305.16966201641003,573.1024323979749,150.68279042399263,249.97723518757942,13.268246174626523
37,540,1349.0280377659528,False,-9.094947017729282e-13,0.0,207.71359050519342,430.0,711.3144472607634,791.766009615963,246.96161889716436,207.71359050519342,19.22471479083144
38,540,1380.9431345309276,False,-4.092726157978177e-12,0.0,496.0323512684615,430.0,454.91078326245787,1478.8274276600873,222.81416325705214,248.01617563423076,10.831209125296615
39,540,1137.5284111016517,False,-4.547473508864641e-13,0.0,455.10035105258623,430.0,252.42806004906723,1112.7772558478803,263.3905558479327,227.55017552629312,6.642843685501769
40,540,1602.4551615979308,False,584.7063831697889,0.0,446.341229172692,360.0,211.40754925544752,584.7063831697895,221.05182818255622,223.170614586346,17.617295771287292
41,540,1814.6818513317812,False,-9.094947017729282e-13,0.0,544.4155312214695,430.0,840.2663201103042,1001.1945224505371,162.35498037172155,272.2077656107347,16.475810198241255
42,540,1822.7471362756387,False,738.3241564935544,0.0,537.3514433972681,360.0,187.07153638481492,738.324156493556,160.6387201765439,268.67572169863405,18.707153638481493
43,540,1588.7471108683967,False,-1.3642420526593924e-12,179.06240791529595,511.79430868982377,430.0,467.8903942632746,1137.9325321870435,179.06240791529595,255.89715434491188,19.495433094303106
44,540,1250.636425029832,False,2.2737367544323206e-12,0.0,363.93756135578496,430.0,456.6988636740422,1382.729682619968,271.3694376998402,181.96878067789248,8.012260766211266
45,540,1569.9277351598903,False,3.183231456205249e-12,160.78645373394653,576.7500841742589,430.0,402.39119725169013,1172.558388793341,160.78645373394653,288.37504208712943,15.47658450968039
46,540,1494.1342816408032,False,1.3642420526593924e-12,0.0,586.4138916078998,430.0,477.72039003290473,1029.286981370666,257.3850175249608,195.47129720263325,11.109776512393134
