iteration,resource_cost,wating_time,feasible
100,490.0,10.0,0
100,488.0,2.0,0
100,490.0,5.0,0
100,496.0,1.0,0
100,496.0,0.0,0
100,488.0,5.0,0
100,496.0,1.0,0
100,498.0,0.0,0
100,502.0,2.0,0
100,502.0,1.0,0
100,494.0,3.0,0
100,494.0,4.0,0
100,492.0,1.0,0
100,502.0,0.0,0
100,492.0,0.0,0
100,492.0,4.0,0
100,498.0,1.0,0
100,502.0,0.0,0
100,500.0,0.0,0
100,500.0,1.0,0
200,498.0,2.0,0
200,494.0,4.0,0
200,496.0,0.0,0
200,492.0,2.0,0
200,490.0,2.0,0
200,496.0,0.0,0
200,488.0,8.0,0
200,496.0,1.0,0
200,490.0,1.0,0
200,500.0,2.0,0
200,494.0,5.0,0
200,496.0,0.0,0
200,496.0,0.0,0
200,490.0,4.0,0
200,492.0,0.0,0
200,488.0,2.0,0
200,492.0,2.0,0
200,492.0,1.0,0
200,492.0,3.0,0
200,500.0,0.0,0
