iteration,resource_cost,wating_time,feasible
100,839.0,13.0,0
100,690.0,26.0,{}
100,875.0,9.0,0
100,793.0,14.0,0
100,977.0,17.0,0
100,873.0,27.0,0
100,856.0,22.0,0
100,912.0,0.0,{}
100,890.0,10.0,0
100,821.0,16.0,{}
100,936.0,6.0,0
100,796.0,26.0,0
100,906.0,8.0,0
100,923.0,5.0,0
100,805.0,18.0,0
100,906.0,18.0,0
100,911.0,24.0,0
100,1006.0,5.0,0
100,827.0,8.0,{}
100,1028.0,1.0,0
200,781.0,15.0,0
200,885.0,7.0,0
200,903.0,0.0,0
200,881.0,3.0,0
200,925.0,15.0,0
200,820.0,8.0,{}
200,824.0,14.0,0
200,894.0,5.0,0
200,832.0,22.0,0
200,861.0,10.0,0
200,735.0,21.0,0
200,917.0,3.0,0
200,843.0,33.0,0
200,952.0,8.0,0
200,869.0,1.0,0
200,851.0,16.0,0
200,846.0,20.0,0
200,880.0,9.0,0
200,905.0,0.0,0
200,956.0,10.0,0
