iteration,resource_cost,wating_time,feasible
100,556.0,1.0,0
100,520.0,6.0,{}
100,580.0,4.0,0
100,558.0,1.0,0
100,584.0,0.0,0
100,546.0,3.0,0
100,570.0,0.0,0
100,548.0,1.0,0
100,576.0,0.0,0
100,594.0,0.0,0
100,534.0,1.0,{}
100,570.0,2.0,0
100,570.0,0.0,0
100,550.0,3.0,{}
100,572.0,3.0,0
100,574.0,0.0,0
100,566.0,1.0,{}
100,590.0,1.0,0
100,550.0,5.0,{}
100,582.0,3.0,0
200,550.0,0.0,0
200,550.0,1.0,{}
200,546.0,0.0,{}
200,572.0,0.0,{}
200,548.0,1.0,0
200,572.0,0.0,0
200,540.0,2.0,{}
200,544.0,0.0,{}
200,538.0,1.0,{}
200,586.0,0.0,0
200,568.0,3.0,0
200,570.0,0.0,0
200,568.0,1.0,0
200,548.0,3.0,0
200,564.0,0.0,{}
200,552.0,0.0,{}
200,541.0,0.0,0
200,564.0,0.0,0
200,574.0,0.0,0
200,586.0,0.0,0
