iteration,resource_cost,wating_time,feasible
100,564.0,96.0,{}
100,544.0,132.0,{}
100,604.0,142.0,{}
100,550.0,64.0,{}
100,573.0,128.0,{}
100,601.0,83.0,0
100,550.0,122.0,{}
100,546.0,33.0,{}
100,596.0,83.0,0
100,598.0,85.0,0
100,562.0,134.0,{}
100,554.0,105.0,{}
100,542.0,73.0,{}
100,560.0,88.0,{}
100,584.0,78.0,{}
100,560.0,57.0,{}
100,559.0,109.0,{}
100,518.0,122.0,{}
100,600.0,45.0,0
100,556.0,132.0,{}
200,548.0,100.0,{}
200,591.0,89.0,0
200,566.0,109.0,{}
200,566.0,63.0,{}
200,566.0,59.0,0
200,572.0,52.0,{}
200,574.0,158.0,0
200,576.0,83.0,{}
200,580.0,43.0,{}
200,568.0,137.0,0
200,534.0,72.0,{}
200,600.0,80.0,0
200,600.0,66.0,0
200,562.0,96.0,0
200,554.0,105.0,{}
200,570.0,71.0,{}
200,592.0,125.0,0
200,556.0,64.0,{}
200,534.0,86.0,{}
200,548.0,74.0,{}
