iteration,resource_cost,wating_time,feasible
100,490.0,74.0,{}
100,498.0,114.0,0
100,504.0,172.0,0
100,492.0,83.0,{}
100,506.0,95.0,0
100,496.0,108.0,0
100,488.0,84.0,{}
100,494.0,79.0,{}
100,490.0,99.0,0
100,492.0,129.0,0
100,490.0,154.0,0
100,498.0,89.0,0
100,496.0,69.0,0
100,494.0,87.0,0
100,498.0,88.0,0
100,502.0,117.0,0
100,494.0,94.0,{}
100,494.0,76.0,0
100,498.0,92.0,0
100,490.0,121.0,{}
200,492.0,127.0,0
200,494.0,127.0,{}
200,496.0,66.0,0
200,496.0,106.0,0
200,492.0,108.0,{}
200,496.0,99.0,0
200,496.0,51.0,0
200,490.0,130.0,0
200,498.0,68.0,0
200,490.0,97.0,0
200,488.0,117.0,0
200,492.0,115.0,0
200,492.0,100.0,{}
200,494.0,72.0,0
200,488.0,105.0,{}
200,502.0,115.0,0
200,498.0,128.0,0
200,488.0,120.0,{}
200,486.0,133.0,{}
200,496.0,104.0,0
