iteration,resource_cost,wating_time,feasible
100,838.0,0.0,0
100,848.0,0.0,0
100,750.0,0.0,0
100,817.0,0.0,0
100,831.0,0.0,0
100,828.0,0.0,0
100,830.0,0.0,0
100,787.0,0.0,0
100,837.0,0.0,0
100,767.0,0.0,0
100,814.0,0.0,0
100,808.0,0.0,0
100,811.0,0.0,0
100,831.0,0.0,0
100,869.0,0.0,0
100,806.0,0.0,0
100,839.0,0.0,0
100,803.0,0.0,0
100,820.0,0.0,0
100,819.0,0.0,0
200,818.0,0.0,0
200,807.0,0.0,0
200,768.0,0.0,0
200,802.0,0.0,0
200,813.0,0.0,0
200,776.0,0.0,0
200,796.0,0.0,0
200,824.0,0.0,0
200,804.0,0.0,0
200,795.0,0.0,0
200,788.0,0.0,0
200,806.0,0.0,0
200,828.0,0.0,0
200,775.0,0.0,0
200,705.0,0.0,0
200,799.0,0.0,0
200,796.0,0.0,0
200,805.0,0.0,0
200,810.0,0.0,0
200,781.0,0.0,0
