trial,num_qubits,energy,feasible,SubH1,SubH2,SubH3,SubH4,SubH5,A,B,C,D,E
0,900,18648.34358665486,False,18648.34358665486,0.0,0.0,0.0,0.0,1243.2229057769907,181.0529569328788,281.8986599482006,5.632642241837062,19.21051227101562
1,900,26334.80294000291,False,26334.80294000291,0.0,0.0,0.0,0.0,1755.6535293335273,210.58984883409397,298.85912874758617,6.817015700236461,17.23325285720819
2,900,22922.611563249764,False,22922.611563249764,0.0,0.0,0.0,0.0,1528.174104216651,208.06037430338657,208.96344506596134,4.7043452632755995,2.9082589415932745
3,900,21679.34986694203,False,21679.34986694203,0.0,0.0,0.0,0.0,1445.2899911294687,231.8956629258621,231.5862368094108,13.897116996214088,14.143543614333963
4,900,28070.550323455656,False,28070.550323455656,0.0,0.0,0.0,0.0,1871.3700215637105,178.9454908632363,298.2819187786068,11.034801428227684,11.562026965857799
5,900,16568.256394256372,False,16568.256394256372,0.0,0.0,0.0,0.0,1104.550426283758,165.7531916932092,260.7813937855081,10.835818407022368,14.673493357594719
6,900,19400.548490354617,False,19400.548490354617,0.0,0.0,0.0,0.0,1293.3698993569744,187.30955812881942,286.22653103080273,4.8482288327964955,9.072791265616011
7,900,21540.587397721527,False,21540.587397721527,0.0,0.0,0.0,0.0,1436.0391598481017,162.66268100645007,270.4906695257406,13.988919301066124,10.356681554984672
8,900,26857.122792903803,False,26857.122792903803,0.0,0.0,0.0,0.0,1790.4748528602536,245.5954493314627,288.555525885708,17.111143668177018,5.348903646015663
9,900,17154.631664656117,False,17154.631664656117,0.0,0.0,0.0,0.0,1143.6421109770745,157.8302895984082,256.2306542811896,13.221918193574632,17.39272434735397
10,900,23316.825626748065,False,23316.825626748065,0.0,0.0,0.0,0.0,1554.4550417832043,195.75837570659013,239.67749370127922,12.011533377500658,13.22436319822576
11,900,24398.324959960893,False,24398.324959960893,0.0,0.0,0.0,0.0,1626.5549973307263,165.52334277912504,289.73985807078907,12.61789863521314,6.274789684065248
12,900,19765.887707612445,False,19765.887707612445,0.0,0.0,0.0,0.0,1317.725847174163,225.57117736929564,243.89571853648863,4.0861704764268,5.6342286226493155
13,900,13853.647681544759,False,1538.6339586777312,0.0,0.0,12276.918050010874,38.095672856149065,1538.6339586777353,224.3776434942194,227.1039737728992,2.6573415692664226,3.1746394046790885
14,900,29651.550674592756,False,29651.550674592756,0.0,0.0,0.0,0.0,1976.7700449728504,227.83810622347556,262.21959448633254,13.20241512895933,1.0407337258437954
15,900,16944.689167429962,False,16944.689167429962,0.0,0.0,0.0,0.0,1129.6459444953307,228.357777888126,292.0856791726775,14.357626748321442,4.690892214260488
16,900,25761.1284529617,False,25761.1284529617,0.0,0.0,0.0,0.0,1717.40856353078,161.06712881521094,233.0422473476317,11.441657762464903,10.40481949463124
17,900,16800.431224215867,False,16800.431224215867,0.0,0.0,0.0,0.0,1120.0287482810577,150.75286522272697,203.59918420768,6.872254909899424,13.745122587247396
18,900,21120.67445624975,False,21120.67445624975,0.0,0.0,0.0,0.0,1408.0449637499835,194.22479423000658,260.9625944015335,12.684027964670026,2.183860941794956
19,900,21187.971043982263,False,1943.1807019115515,0.0,202.62823696169352,18959.058079599126,83.10402550988933,1943.180701911551,172.3144911415887,202.62823696169352,4.103692225021457,16.620805101977865
20,900,27582.666905580525,False,27582.666905580525,0.0,0.0,0.0,0.0,1838.844460372035,231.0378291057003,285.91240009307865,6.515275510189782,15.145383672268625
21,900,21502.208270451374,False,4610.149064421605,0.0,0.0,16892.05920602977,0.0,1536.7163548072008,163.9859764897787,271.4126373884418,4.2656715166741845,18.58282100987494
22,900,27942.79128664141,False,27942.79128664141,0.0,0.0,0.0,0.0,1862.8527524427607,174.44071233542357,281.73283186993064,16.806807364882125,5.232249283901998
23,900,19179.069043368505,False,19179.069043368505,0.0,0.0,0.0,0.0,1278.6046028912338,248.8447431136005,279.2478288988641,16.192350549268728,19.312994469964366
24,900,28186.751284124046,False,28186.751284124046,0.0,0.0,0.0,0.0,1879.1167522749363,159.97666455662088,256.1383805834206,14.27268555452826,8.190407063371294
25,900,20301.598599305187,False,20301.598599305187,0.0,0.0,0.0,0.0,1353.439906620346,211.43445822818876,208.70322298907746,15.88193797935557,11.79137729291518
26,900,22196.61429709954,False,3104.0502431100213,0.0,0.0,19072.445301727428,20.118752262086815,1552.0251215550113,224.97458595601705,282.30415691286976,4.44579144562411,1.8289774783715287
27,900,26196.0743736231,False,26196.0743736231,0.0,0.0,0.0,0.0,1746.40495824154,169.06539273281186,276.45210779162716,9.07018167239271,12.16849139848277
28,900,21356.86098216934,False,3391.160369957599,0.0,0.0,17908.042351943594,57.65826026815139,1695.5801849787983,216.48144919471432,239.24679672640156,4.174368846606898,14.414565067037847
29,900,11699.052486373384,False,-7.73070496506989e-12,0.0,479.82920102281605,10949.986669200662,269.23661614991227,1803.3860378760385,180.22129939754717,239.91460051140803,2.212118519030437,12.238028006814192
30,900,26666.262561402382,False,26666.262561402382,0.0,0.0,0.0,0.0,1777.7508374268255,158.78147730607614,244.04248253858253,16.577243089735504,6.150313306771673
31,900,15708.253678405094,False,15708.253678405094,0.0,0.0,0.0,0.0,1047.216911893673,234.03901327028416,237.81134360716257,17.58286760184472,1.740291879220847
32,900,25023.56578750572,False,25023.56578750572,0.0,0.0,0.0,0.0,1668.237719167048,212.62238860869167,246.26217577869866,6.595168371709107,10.465721654796527
33,900,20427.354850039246,False,20427.354850039246,0.0,0.0,0.0,0.0,1361.823656669283,180.19655821079274,285.45993008984743,17.99364031382147,19.37613265181458
34,900,20362.191690947828,False,20362.191690947828,0.0,0.0,0.0,0.0,1357.4794460631886,174.20213939304105,288.88539605139454,5.7884391662362615,8.154342472210654
35,900,16100.705585466492,False,16100.705585466492,0.0,0.0,0.0,0.0,1073.3803723644328,205.99957314630552,227.92768458232007,6.104355426288301,9.368450689590302
36,900,28692.137276194306,False,28692.137276194306,0.0,0.0,0.0,0.0,1912.809151746287,215.9314782836808,265.3105132804275,6.743734248824276,7.6589126939062515
37,900,22655.36174634733,False,22655.36174634733,0.0,0.0,0.0,0.0,1510.3574497564887,206.44053760260056,274.021749208134,11.223880052275337,5.817299396117252
38,900,17307.944453061857,False,17307.944453061857,0.0,0.0,0.0,0.0,1153.862963537457,154.4076179244607,236.69700794397306,4.78166394993687,8.376100290412001
39,900,20621.347808924238,False,4450.26054266346,0.0,0.0,16107.138542152241,63.948724108540446,1483.4201808878192,164.26502270954663,243.52416201150865,4.067459227816222,15.987181027135112
40,900,28035.632257858564,False,28035.632257858564,0.0,0.0,0.0,0.0,1869.0421505239042,189.79925397101147,267.96034661586697,19.97763418410898,17.11686245568674
41,900,15032.740288479114,False,15032.740288479114,0.0,0.0,0.0,0.0,1002.1826858986076,237.96396831644012,275.66074154153836,17.770110707996533,11.808780122761153
42,900,19096.766108632433,False,19096.766108632433,0.0,0.0,0.0,0.0,1273.1177405754956,159.6725452299793,271.73745191046237,3.982885997909837,16.573287567720932
43,900,17273.692240959077,False,3727.9883351479384,0.0,0.0,13507.128103609002,38.57580220213335,1242.6627783826464,201.98214388381112,249.06907385963808,3.410890935254799,19.287901101066677
44,900,23507.31560351742,False,4833.074902742015,0.0,0.0,18634.4513973641,39.78930341130013,1611.024967580673,208.75526935395078,258.38949042339937,4.705669544788915,19.894651705650066
45,900,21423.200160923923,False,21423.200160923923,0.0,0.0,0.0,0.0,1428.2133440615949,233.47418647350796,226.25745442372846,7.139536088708443,5.438619719666964
46,900,24668.596551494153,False,24668.596551494153,0.0,0.0,0.0,0.0,1644.5731034329435,179.8652971337926,234.93381701373272,10.326634498490085,10.45256010742141
47,900,16833.260180484966,False,16833.260180484966,0.0,0.0,0.0,0.0,1122.2173453656644,210.42489597589096,256.77644661789986,15.337940531556061,9.123039580061496
48,900,17926.30846250926,False,17926.30846250926,0.0,0.0,0.0,0.0,1195.0872308339506,178.84349702787532,297.08101067622863,7.246014508742268,8.020375822562311
49,900,16553.656643310114,False,16553.656643310114,0.0,0.0,0.0,0.0,1103.5771095540076,239.89747768408498,271.5171498232843,4.139882993197697,9.236219290894237
50,900,18501.016241194153,False,1879.1167522749386,0.0,0.0,16376.814282714216,245.08520620500002,1879.1167522749363,155.236067449959,256.1383805834206,3.544764996258488,7.6589126939062515
51,900,20913.459355940606,False,1912.8091517462929,0.0,0.0,18878.10760109182,122.54260310250001,1912.809151746287,215.9314782836808,243.89571853648863,4.0861704764268,7.6589126939062515
52,900,24016.17678508917,False,6417.106122037891,0.0,0.0,17599.07066305128,0.0,1604.2765305094727,228.357777888126,286.22653103080273,4.8482288327964955,14.051034161242614
53,900,29147.710528673266,False,29147.710528673266,0.0,0.0,0.0,0.0,1943.180701911551,211.43445822818876,208.70322298907746,16.691053899017767,16.620805101977865
54,900,16553.656643310114,False,16553.656643310114,0.0,0.0,0.0,0.0,1103.5771095540076,185.68180204989704,293.3223836600421,19.97763418410898,15.395754106320592
55,900,23050.74532210801,False,23050.74532210801,0.0,0.0,0.0,0.0,1536.7163548072008,242.96859441228554,271.4126373884418,6.872254909899424,13.745122587247396
56,900,13882.967893916772,False,1536.7163548071999,0.0,0.0,12276.918050010874,69.33348909870197,1536.7163548072008,224.3776434942194,227.1039737728992,2.6573415692664226,2.4761960392393565
57,900,26196.0743736231,False,26196.0743736231,0.0,0.0,0.0,0.0,1746.40495824154,169.06539273281186,255.18556671231278,9.07018167239271,1.5508666428689284
58,900,19765.887707612445,False,19765.887707612445,0.0,0.0,0.0,0.0,1317.725847174163,225.57117736929564,243.89571853648863,4.0861704764268,5.6342286226493155
59,900,22922.611563249764,False,22922.611563249764,0.0,0.0,0.0,0.0,1528.174104216651,245.5954493314627,208.96344506596134,4.7043452632755995,5.348903646015663
60,900,26914.97846201286,False,26914.97846201286,0.0,0.0,0.0,0.0,1794.331897467524,164.26502270954663,233.0422473476317,11.441657762464903,2.9751179635480147
61,900,28692.137276194306,False,28692.137276194306,0.0,0.0,0.0,0.0,1912.809151746287,221.99809775388832,244.04248253858253,6.743734248824276,7.6589126939062515
62,900,11399.3776588949,False,1153.8629635374602,0.0,0.0,10040.085788351113,205.42890700632606,1153.862963537457,165.7531916932092,236.69700794397306,2.173178742067341,14.673493357594719
63,900,16553.656643310114,False,16553.656643310114,0.0,0.0,0.0,0.0,1103.5771095540076,239.89747768408498,267.96034661586697,4.139882993197697,17.11686245568674
64,900,21540.587397721527,False,21540.587397721527,0.0,0.0,0.0,0.0,1436.0391598481017,162.66268100645007,211.72835406214372,18.22321837482612,6.274789684065248
65,900,18648.34358665486,False,18648.34358665486,0.0,0.0,0.0,0.0,1243.2229057769907,181.0529569328788,281.8986599482006,15.388451748602261,14.673493357594719
66,900,17307.944453061857,False,17307.944453061857,0.0,0.0,0.0,0.0,1153.862963537457,154.4076179244607,200.36327735653958,19.90487504881297,19.21051227101562
67,900,26857.122792903803,False,26857.122792903803,0.0,0.0,0.0,0.0,1790.4748528602536,194.22479423000658,288.555525885708,12.684027964670026,5.348903646015663
68,900,16568.256394256372,False,16568.256394256372,0.0,0.0,0.0,0.0,1104.550426283758,220.90732195021695,220.11085962935186,14.703517281998577,17.39272434735397
69,900,20427.354850039246,False,20427.354850039246,0.0,0.0,0.0,0.0,1361.823656669283,211.43445822818876,285.45993008984743,15.88193797935557,19.37613265181458
70,900,21120.67445624975,False,21120.67445624975,0.0,0.0,0.0,0.0,1408.0449637499835,205.99957314630552,227.92768458232007,6.104355426288301,15.340782948903302
71,900,16833.260180484966,False,16833.260180484966,0.0,0.0,0.0,0.0,1122.2173453656644,237.96396831644012,293.00242943425053,17.770110707996533,11.808780122761153
72,900,16800.431224215867,False,16800.431224215867,0.0,0.0,0.0,0.0,1120.0287482810577,157.8302895984082,256.2306542811896,6.872254909899424,18.58581880749708
73,900,11815.93121081269,False,1198.3066033914147,231.0378291057003,0.0,10219.987557920618,166.5992203949549,1198.3066033914147,231.0378291057003,272.3468699592442,2.212118519030437,15.145383672268625
74,900,20301.598599305187,False,20301.598599305187,0.0,0.0,0.0,0.0,1353.439906620346,211.43445822818876,271.5171498232843,4.139882993197697,11.79137729291518
75,900,21355.2237928044,False,21355.2237928044,0.0,0.0,0.0,0.0,1423.6815861869602,174.44071233542357,281.73283186993064,16.806807364882125,5.232249283901998
76,900,23941.36888324924,False,3642.1362689148427,0.0,0.0,20187.322347144443,111.91026718994578,1821.068134457425,164.26502270954663,258.38949042339937,4.705669544788915,15.987181027135112
77,900,21567.73152695834,False,4610.149064421605,0.0,0.0,16892.05920602977,65.52325650697036,1536.7163548072008,155.65930397046083,271.4126373884418,4.2656715166741845,8.190407063371294
78,900,16833.260180484966,False,16833.260180484966,0.0,0.0,0.0,0.0,1122.2173453656644,210.42489597589096,220.19553751288998,6.104355426288301,9.123039580061496
79,900,23864.98202240103,False,23864.98202240103,0.0,0.0,0.0,0.0,1590.998801493402,234.03901327028416,237.81134360716257,17.58286760184472,11.808780122761153
80,900,20979.568576481335,False,20979.568576481335,0.0,0.0,0.0,0.0,1398.6379050987557,163.9859764897787,271.4126373884418,11.034801428227684,18.58282100987494
81,900,24668.596551494153,False,24668.596551494153,0.0,0.0,0.0,0.0,1644.5731034329435,179.8652971337926,234.93381701373272,19.97763418410898,17.11686245568674
82,900,16944.689167429962,False,16944.689167429962,0.0,0.0,0.0,0.0,1129.6459444953307,228.357777888126,214.2796174632927,6.07869654318997,5.348903646015663
83,900,17767.32169555079,False,17767.32169555079,0.0,0.0,0.0,0.0,1184.4881130367194,163.9859764897787,204.4153061572132,4.2656715166741845,15.145383672268625
84,900,17154.631664656117,False,17154.631664656117,0.0,0.0,0.0,0.0,1143.6421109770745,201.98214388381112,273.6695797605497,13.221918193574632,19.287901101066677
85,900,20362.191690947828,False,20362.191690947828,0.0,0.0,0.0,0.0,1357.4794460631886,189.79925397101147,247.30560803619292,5.7884391662362615,8.154342472210654
86,900,19626.69748130773,False,19626.69748130773,0.0,0.0,0.0,0.0,1308.4464987538486,216.48144919471432,239.24679672640156,4.174368846606898,14.414565067037847
87,900,21005.43841022441,False,1943.1807019115515,0.0,0.0,18959.058079599126,103.19962871373073,1943.180701911551,172.3144911415887,202.62823696169352,4.103692225021457,4.690892214260488
88,900,20301.598599305187,False,20301.598599305187,0.0,0.0,0.0,0.0,1353.439906620346,211.43445822818876,208.70322298907746,15.88193797935557,12.309789687863882
89,900,28508.45668423903,False,28508.45668423903,0.0,0.0,0.0,0.0,1900.5637789492687,231.8956629258621,208.70322298907746,15.88193797935557,11.79137729291518
90,900,20301.598599305187,False,20301.598599305187,0.0,0.0,0.0,0.0,1353.439906620346,211.43445822818876,266.4589333520105,5.963238844495356,11.79137729291518
91,900,19096.766108632433,False,19096.766108632433,0.0,0.0,0.0,0.0,1273.1177405754956,159.6725452299793,271.73745191046237,3.982885997909837,16.573287567720932
92,900,28186.751284124046,False,28186.751284124046,0.0,0.0,0.0,0.0,1879.1167522749363,159.97666455662088,227.1039737728992,14.27268555452826,3.1746394046790885
93,900,16568.256394256372,False,16568.256394256372,0.0,0.0,0.0,0.0,1104.550426283758,194.22479423000658,260.7813937855081,10.835818407022368,14.673493357594719
94,900,24165.374513710096,False,24165.374513710096,0.0,0.0,0.0,0.0,1611.024967580673,248.5976111055628,275.48083742992014,10.835818407022368,11.26453998579811
95,900,19400.548490354617,False,19400.548490354617,0.0,0.0,0.0,0.0,1293.3698993569744,208.06037430338657,268.65155243863484,4.8482288327964955,2.9082589415932745
96,900,17926.30846250926,False,17926.30846250926,0.0,0.0,0.0,0.0,1195.0872308339506,178.84349702787532,239.24679672640156,4.174368846606898,2.0217776314437814
97,900,11732.052558943838,False,3.637978807091713e-12,227.83810622347556,0.0,11465.707304864141,38.507147856220435,1493.411600567766,227.83810622347556,262.21959448633254,2.2561407526297015,1.0407337258437954
98,900,20826.144510207312,False,1668.2377191670435,0.0,0.0,18959.058079599126,198.848711441134,1668.237719167048,212.62238860869167,269.0192818260681,4.103692225021457,10.465721654796527
99,900,16944.689167429962,False,16944.689167429962,0.0,0.0,0.0,0.0,1129.6459444953307,178.9454908632363,298.2819187786068,11.034801428227684,4.690892214260488
