trial,num_qubits,energy,feasible,SubH1,SubH2,SubH3,SubH4,SubH5,A,B,C,D,E
0,900,12670.26726194,False,12670.26726194,0.0,0.0,0.0,0.0,844.6844841293333,198.78499468800754,213.00087917190962,10.57713041053203,1.347289200014816
1,900,10553.086053362866,False,10553.086053362866,0.0,0.0,0.0,0.0,703.539070224191,245.6569321101804,270.55885266065286,3.0705833976496315,19.85390218467224
2,900,9577.11263469387,False,9577.11263469387,0.0,0.0,0.0,0.0,638.474175646258,237.04166069499811,280.96799556227455,10.250216970254272,14.638050545984083
3,900,11567.856185827748,False,11567.856185827748,0.0,0.0,0.0,0.0,771.1904123885165,220.43242448746275,271.11387074110274,16.30038003769243,10.583803071918323
4,900,10480.862990386047,False,10480.862990386047,0.0,0.0,0.0,0.0,698.7241993590699,188.22462318612585,244.94741810467173,13.279715170918546,14.352109085858336
5,900,12589.325436535884,False,12589.325436535884,0.0,0.0,0.0,0.0,839.2883624357256,237.42687224615145,280.58542211154906,16.965047599146757,11.9511075303304
6,900,9662.88797605053,False,9662.88797605053,0.0,0.0,0.0,0.0,644.192531736702,240.2750660924613,213.72275642465124,5.5002354229103725,15.7119972135381
7,900,9478.97016927444,False,9478.97016927444,0.0,0.0,0.0,0.0,631.9313446182961,184.3002963840048,226.63890956468225,15.629891107864562,4.75265862123832
8,900,10857.783719995374,False,10857.783719995374,0.0,0.0,0.0,0.0,723.8522479996916,184.40485412835494,211.68651510778298,2.76026954438089,3.052198072055236
9,900,10558.73448101029,False,10558.73448101029,0.0,0.0,0.0,0.0,703.9156320673526,222.14827053312908,278.45266298437525,12.950367233102623,2.953673256844973
10,900,11972.56571936818,False,11972.56571936818,0.0,0.0,0.0,0.0,798.1710479578787,204.9782208005243,261.8258103965275,8.934461559170153,8.680897165027279
11,900,12954.988408935573,False,12954.988408935573,0.0,0.0,0.0,0.0,863.6658939290381,189.27309208066023,279.56908806553474,11.102224942219683,15.287153148302497
12,900,10760.685703416557,False,10760.685703416557,0.0,0.0,0.0,0.0,717.3790468944371,185.88700423767108,252.26252393390894,8.570831696986073,2.2666238016122366
13,900,13031.800691320239,False,13031.800691320239,0.0,0.0,0.0,0.0,868.7867127546826,161.09964692725367,237.0509298964286,9.099042191775878,16.366997066375014
14,900,6200.67714620066,False,823.054419300126,150.39141674600694,0.0,5172.04135399306,55.18995616146637,823.054419300126,150.39141674600694,276.31633728296,1.09600367747257,13.797489040366592
15,900,11648.936612850612,False,11648.936612850612,0.0,0.0,0.0,0.0,776.5957741900407,206.25865530396888,278.9739758576849,9.303153788577982,17.760418706913416
16,900,11055.915298405533,False,11055.915298405533,0.0,0.0,0.0,0.0,737.0610198937022,208.89604055743024,227.55396623224564,10.927411282802932,7.4636936099337685
17,900,11842.956783886571,False,11842.956783886571,0.0,0.0,0.0,0.0,789.5304522591048,206.27982142156358,232.47088627460013,19.194003358539746,1.7849638597495114
18,900,13271.981448527533,False,13271.981448527533,0.0,0.0,0.0,0.0,884.7987632351688,232.88913204046167,280.43212889120474,6.841113767495487,1.6033609676953104
19,900,6678.512164904623,False,1228.7372521936322,0.0,0.0,5296.330560094147,153.4443526168458,614.3686260968162,175.20414474601642,201.70656753919462,1.2345758881338338,13.949486601531435
20,900,9859.187055389417,False,9859.187055389417,0.0,0.0,0.0,0.0,657.2791370259612,176.22106569803657,237.76663195007296,18.629981970118482,15.448318896540428
21,900,9269.685152762011,False,9269.685152762011,0.0,0.0,0.0,0.0,617.979010184134,237.29409276884945,277.8978840729243,9.397061280894006,7.936990536335938
22,900,11368.280326588783,False,11368.280326588783,0.0,0.0,0.0,0.0,757.8853551059188,176.58965652657477,280.574222860249,14.429494182718207,13.312326209549907
23,900,10702.546722504607,False,10702.546722504607,0.0,0.0,0.0,0.0,713.5031148336404,180.37743488355832,217.23100389889126,11.14432627268318,1.564921490075338
24,900,12785.538273738515,False,12785.538273738515,0.0,0.0,0.0,0.0,852.3692182492343,153.37651045634203,233.6275615871215,5.374479691301849,7.096982603316499
25,900,8240.093541084205,False,1804.5481243664249,0.0,0.0,6388.461982275968,47.08343444181125,601.5160414554744,196.98297407917283,247.45140441079755,1.6132479753222144,15.694478147270416
26,900,10939.14104442961,False,10939.14104442961,0.0,0.0,0.0,0.0,729.2760696286407,242.94480432956902,277.5217797188587,11.378327497849652,17.496261066538068
27,900,12095.723306595375,False,12095.723306595375,0.0,0.0,0.0,0.0,806.381553773025,219.9988249533523,266.3979779275418,8.870213341840868,9.099277421937558
