trial,energy,sort_ans
0,18648.34358665486,"[['x', '23', '0', '1'], 1, ['x', '1', '2', '4'], ['x', '29', '3', '1'], 4, 5, ['x', '28', '6', '0'], 7, ['x', '1', '8', '5'], ['x', '26', '9', '1'], 10, ['x', '27', '11', '5'], 12, ['x', '29', '13', '3'], 14, 15, 16, 17]"
1,26334.80294000291,"[['x', '22', '0', '1'], ['x', '25', '1', '3'], 2, ['x', '27', '3', '1'], 4, ['x', '27', '5', '5'], 6, ['x', '29', '7', '2'], 8, ['x', '23', '9', '1'], ['x', '27', '10', '3'], ['x', '29', '11', '5'], ['x', '26', '12', '0'], 13, ['x', '1', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23]"
2,22922.611563249764,"[['x', '22', '0', '1'], ['x', '28', '1', '3'], 2, 3, 4, ['x', '27', '5', '5'], ['x', '24', '6', '0'], 7, ['x', '28', '8', '5'], ['x', '22', '9', '0'], ['x', '28', '10', '2'], 11, ['x', '25', '12', '1'], 13, ['x', '1', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
3,21679.34986694203,"[['x', '26', '0', '0'], 1, ['x', '1', '2', '5'], 3, ['x', '26', '4', '2'], 5, ['x', '24', '6', '1'], 7, ['x', '0', '8', '5'], ['x', '28', '9', '0'], 10, ['x', '27', '11', '5'], ['x', '29', '12', '0'], 13, ['x', '29', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
4,28070.550323455656,"[0, ['x', '26', '1', '2'], 2, 3, 4, ['x', '29', '5', '4'], ['x', '22', '6', '1'], 7, ['x', '0', '8', '4'], 9, ['x', '29', '10', '3'], 11, ['x', '25', '12', '1'], 13, ['x', '28', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
5,16568.256394256372,"[['x', '24', '0', '1'], ['x', '27', '1', '3'], 2, ['x', '28', '3', '1'], 4, ['x', '29', '5', '4'], 6, ['x', '26', '7', '2'], 8, ['x', '22', '9', '0'], ['x', '28', '10', '2'], 11, ['x', '26', '12', '0'], 13, ['x', '29', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23]"
6,19400.548490354617,"[0, ['x', '29', '1', '3'], 2, ['x', '29', '3', '0'], 4, ['x', '1', '5', '5'], ['x', '26', '6', '1'], 7, ['x', '0', '8', '5'], ['x', '28', '9', '1'], 10, 11, ['x', '22', '12', '0'], 13, ['x', '29', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
7,21540.587397721527,"[['x', '22', '0', '1'], ['x', '27', '1', '3'], 2, 3, 4, ['x', '28', '5', '5'], 6, ['x', '29', '7', '3'], 8, ['x', '25', '9', '0'], ['x', '28', '10', '2'], ['x', '29', '11', '4'], ['x', '26', '12', '1'], 13, ['x', '29', '14', '5'], 15, 16, 17, 18, 19]"
8,26857.122792903803,"[['x', '24', '0', '1'], 1, ['x', '28', '2', '4'], ['x', '23', '3', '0'], ['x', '29', '4', '3'], 5, ['x', '26', '6', '1'], 7, 8, ['x', '22', '9', '0'], ['x', '28', '10', '2'], 11, ['x', '28', '12', '0'], 13, ['x', '27', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
9,17154.631664656117,"[0, ['x', '24', '1', '3'], 2, ['x', '28', '3', '1'], 4, ['x', '1', '5', '5'], 6, ['x', '29', '7', '2'], 8, 9, ['x', '29', '10', '3'], 11, ['x', '26', '12', '0'], 13, 14, 15, 16, 17, 18, 19]"
10,23316.825626748065,"[0, ['x', '27', '1', '3'], 2, ['x', '29', '3', '0'], 4, 5, ['x', '24', '6', '1'], 7, 8, ['x', '26', '9', '1'], 10, ['x', '29', '11', '4'], 12, ['x', '26', '13', '2'], ['x', '29', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22]"
11,24398.324959960893,"[['x', '26', '0', '1'], 1, 2, 3, ['x', '26', '4', '3'], 5, ['x', '25', '6', '1'], 7, ['x', '1', '8', '5'], ['x', '23', '9', '1'], 10, ['x', '1', '11', '5'], ['x', '29', '12', '1'], 13, ['x', '29', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
12,19765.887707612445,"[['x', '26', '0', '0'], 1, ['x', '1', '2', '5'], ['x', '29', '3', '1'], 4, ['x', '27', '5', '5'], ['x', '24', '6', '1'], 7, ['x', '29', '8', '4'], ['x', '23', '9', '1'], 10, ['x', '29', '11', '5'], 12, ['x', '29', '13', '3'], 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
13,13853.647681544759,"[['x', '16', '0', '0'], ['x', '18', '1', '3'], ['x', '27', '2', '5'], ['x', '1', '3', '0'], ['x', '5', '4', '3'], ['x', '15', '5', '5'], ['x', '5', '6', '0'], ['x', '9', '7', '3'], ['x', '29', '8', '4'], ['x', '20', '9', '0'], ['x', '25', '10', '3'], ['x', '26', '11', '5'], ['x', '25', '12', '1'], 13, ['x', '7', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
14,29651.550674592756,"[['x', '23', '0', '1'], ['x', '29', '1', '3'], 2, 3, 4, ['x', '1', '5', '4'], ['x', '25', '6', '1'], 7, ['x', '0', '8', '5'], ['x', '29', '9', '0'], 10, ['x', '27', '11', '5'], ['x', '28', '12', '1'], 13, ['x', '1', '14', '5'], 15, 16, 17, 18, 19, 20, 21, 22]"
