iteration,resource_cost,wating_time,feasible
100,560.0,2.0,{}
100,600.0,0.0,0
100,552.0,1.0,0
100,538.0,2.0,{}
100,588.0,2.0,0
100,558.0,0.0,0
100,540.0,1.0,{}
100,544.0,2.0,0
100,572.0,2.0,0
100,570.0,0.0,0
100,564.0,2.0,{}
100,570.0,0.0,0
100,578.0,0.0,0
100,580.0,0.0,0
100,582.0,0.0,0
100,544.0,0.0,{}
100,592.0,0.0,0
100,581.0,0.0,{}
100,551.0,0.0,0
100,558.0,2.0,{}
200,566.0,0.0,0
200,586.0,0.0,0
200,554.0,1.0,{}
200,562.0,0.0,0
200,564.0,1.0,0
200,562.0,3.0,0
200,542.0,2.0,0
200,566.0,0.0,0
200,528.0,0.0,0
200,564.0,1.0,0
200,554.0,2.0,{}
200,584.0,1.0,0
200,552.0,0.0,0
200,544.0,9.0,0
200,576.0,0.0,0
200,520.0,3.0,{}
200,576.0,0.0,0
200,574.0,1.0,0
200,562.0,3.0,0
200,571.0,2.0,0
