iteration,resource_cost,wating_time,feasible
100,568.0,8.0,{}
100,572.0,0.0,0
100,596.0,0.0,0
100,596.0,1.0,0
100,578.0,3.0,{}
100,556.0,8.0,{}
100,566.0,4.0,0
100,562.0,11.0,0
100,562.0,1.0,{}
100,550.0,8.0,{}
100,548.0,1.0,{}
100,546.0,7.0,{}
100,606.0,0.0,0
100,572.0,0.0,{}
100,572.0,7.0,{}
100,562.0,3.0,{}
100,550.0,2.0,{}
100,550.0,7.0,{}
100,560.0,15.0,0
100,556.0,6.0,0
200,600.0,5.0,0
200,562.0,5.0,{}
200,530.0,5.0,0
200,594.0,9.0,0
200,594.0,0.0,0
200,546.0,5.0,{}
200,545.0,5.0,{}
200,576.0,6.0,0
200,566.0,1.0,{}
200,560.0,3.0,0
200,586.0,6.0,0
200,558.0,0.0,0
200,540.0,5.0,{}
200,556.0,1.0,{}
200,586.0,0.0,0
200,544.0,14.0,{}
200,602.0,4.0,0
200,596.0,1.0,0
200,522.0,9.0,0
200,520.0,8.0,{}
