iteration,resource_cost,wating_time,feasible
100,660.0,114.0,{}
100,626.0,79.0,{}
100,652.0,119.0,{}
100,623.0,91.0,{}
100,713.0,98.0,0
100,699.0,101.0,0
100,661.0,79.0,0
100,707.0,115.0,0
100,697.0,65.0,0
100,658.0,61.0,{}
100,723.0,53.0,0
100,654.0,142.0,{}
100,612.0,155.0,{}
100,718.0,47.0,{}
100,733.0,95.0,0
100,583.0,70.0,{}
100,690.0,69.0,{}
100,654.0,89.0,{}
100,671.0,87.0,0
100,747.0,75.0,{}
200,675.0,118.0,{}
200,704.0,78.0,{}
200,670.0,107.0,0
200,733.0,71.0,0
200,650.0,111.0,0
200,617.0,129.0,{}
200,695.0,77.0,0
200,608.0,94.0,{}
200,640.0,77.0,{}
200,697.0,40.0,{}
200,690.0,99.0,0
200,681.0,110.0,{}
200,692.0,40.0,{}
200,709.0,86.0,0
200,655.0,68.0,{}
200,726.0,76.0,0
200,658.0,56.0,0
200,701.0,89.0,0
200,692.0,119.0,0
200,725.0,114.0,0
