iteration,resource_cost,wating_time,feasible
100,536.0,115.0,0
100,574.0,111.0,{}
100,557.0,145.0,{}
100,594.0,112.0,0
100,590.0,89.0,0
100,580.0,98.0,{}
100,588.0,129.0,0
100,570.0,97.0,0
100,568.0,84.0,{}
100,556.0,114.0,{}
100,558.0,91.0,{}
100,560.0,107.0,{}
100,558.0,119.0,{}
100,582.0,87.0,{}
100,560.0,108.0,{}
100,534.0,98.0,{}
100,544.0,108.0,{}
100,552.0,110.0,{}
100,586.0,133.0,0
100,550.0,97.0,{}
200,526.0,99.0,0
200,538.0,68.0,{}
200,584.0,38.0,0
200,548.0,76.0,{}
200,548.0,84.0,{}
200,566.0,111.0,{}
200,562.0,102.0,{}
200,540.0,87.0,{}
200,578.0,142.0,0
200,524.0,97.0,{}
200,566.0,104.0,{}
200,532.0,102.0,{}
200,560.0,91.0,0
200,552.0,87.0,{}
200,584.0,135.0,0
200,530.0,121.0,{}
200,554.0,71.0,{}
200,564.0,87.0,0
200,540.0,95.0,{}
200,546.0,101.0,{}
