iteration,resource_cost,wating_time,feasible
100,680.0,4.0,{}
100,726.0,0.0,0
100,670.0,1.0,{}
100,670.0,4.0,{}
100,698.0,1.0,0
100,600.0,11.0,0
100,683.0,6.0,0
100,742.0,0.0,0
100,719.0,4.0,0
100,688.0,8.0,0
100,715.0,0.0,0
100,724.0,0.0,0
100,627.0,0.0,0
100,682.0,0.0,0
100,660.0,2.0,0
100,722.0,0.0,0
100,698.0,0.0,0
100,739.0,0.0,0
100,657.0,1.0,0
100,677.0,7.0,0
200,691.0,1.0,0
200,648.0,0.0,"{'precedence173184': (False, 1.0)}"
200,684.0,1.0,0
200,668.0,2.0,0
200,648.0,3.0,{}
200,642.0,9.0,0
200,677.0,1.0,{}
200,665.0,2.0,0
200,664.0,1.0,{}
200,683.0,7.0,0
200,680.0,1.0,{}
200,646.0,1.0,0
200,736.0,0.0,0
200,681.0,0.0,{}
200,695.0,0.0,0
200,689.0,4.0,0
200,689.0,3.0,0
200,692.0,2.0,0
200,660.0,0.0,{}
200,665.0,0.0,0
