iteration,machine_cost,processing_time,resource_cost,wating_time,feasible
100,545,10,854.0,-767.5,0
100,549,10,864.0,-791.5,0
100,544,10,876.0,-747.0,0
100,545,10,843.0,-696.5,"{'precedence018219': (False, 1.0)}"
100,547,11,884.0,-726.0,0
100,546,10,858.0,-764.5,0
200,546,10,839.0,-731.5,0
200,542,9,876.0,-782.0,0
200,554,10,862.0,-737.0,0
200,545,10,854.0,-697.5,0
200,538,10,841.0,-746.5,"{'conflict21': (False, 1.0)}"
200,546,11,860.0,-729.5,0
300,541,11,898.0,-755.5,0
300,544,10,853.0,-766.5,0
300,542,11,886.0,-796.5,0
300,548,11,898.0,-758.5,0
300,544,11,876.0,-747.0,0
