trial,num_qubits,energy,feasible,SubH1,SubH2,SubH3,SubH4,SubH5,A,B,C,D,E
0,1080,2744.720000000001,False,1.5916157281026244e-12,0.0,662.9,2020.4600000000005,61.36000000000001,1008.83,180.95,331.45,4.94,1.04
1,1080,2847.2255665006014,False,978.7279175568309,0.0,0.0,1821.0657553880453,47.431893555722745,978.7279175568339,184.3316315655975,328.7545547801423,5.356075751141308,1.0779975808118805
2,1080,2805.97154483731,False,2.2737367544323206e-12,179.14696382714646,336.0374435507004,2214.655609016271,76.1315284431947,990.8888907923963,179.14696382714646,336.0374435507004,5.874418061051116,1.0875932634742096
3,1080,2794.371788372142,False,1003.6725904936816,0.0,0.0,1726.4036431987633,64.29555467970046,1003.67259049368,182.51492688285188,333.6692587034427,5.138106080948701,1.0370250754790395
4,1080,2412.8774680271563,False,2.2737367544323206e-12,0.0,320.27536899181365,2031.6593083677808,60.94279066756226,1034.1794279098438,182.54624747961714,320.27536899181365,5.318479864837122,1.0882641190636118
5,1080,1603.365397262769,False,2.2737367544323206e-12,0.0,0.0,1556.352894824245,47.01250243852485,1004.7328975852058,184.2309426765024,321.5076248328595,4.106472018005924,1.0933140101982524
6,1080,1980.066391122109,False,3.637978807091713e-12,0.0,335.7746028588149,1615.7579219012046,28.53386636209039,1047.7067214839867,180.9580386658923,335.7746028588149,3.9505083665066136,1.056809865262607
7,1080,1499.9899494155725,False,-3.637978807091713e-12,0.0,0.0,1423.9896965206326,76.00025289494019,1080.369108434184,181.54260135843518,336.0429528416032,3.431300473543694,1.0704260971118336
8,1080,2591.8655336728953,False,1055.6871962284404,0.0,0.0,1501.268526375748,34.90981106871192,1055.6871962284358,178.28188158511134,338.4973525723113,4.32642226621253,1.0909315958972474
9,1080,2261.885017558243,False,-1.5916157281026244e-12,0.0,320.9471055760303,1874.1917758686275,66.74613611358703,958.9713834169778,177.7643062572072,320.9471055760303,5.02464283074699,1.059462477993445
10,1080,2369.02916449827,False,4.320099833421409e-12,0.0,331.4882344172685,1986.6988560142042,50.84207406679918,1021.5495487704396,175.143450890508,331.4882344172685,5.228154884247906,1.0168414813359836
11,1080,2269.779702899794,False,4.320099833421409e-12,0.0,0.0,2200.4477656456083,69.33193725418589,961.1838689030634,182.8940955259273,328.0625858810696,5.613387157259204,1.0833115195966545
12,1080,1986.3453188508738,False,-1.1368683772161603e-12,0.0,0.0,1945.3407504765976,41.00456837427711,962.7162795011898,189.36748613463934,325.6347418946184,4.839156095712929,1.079067588796766
13,1080,2373.9790529773272,False,-5.4569682106375694e-12,188.15949218133068,0.0,2126.638596847747,59.18096394824868,971.4078782836032,188.15949218133068,337.9507401118093,5.425098461346295,1.0760175263317944
14,1080,1922.8925597446505,False,5.002220859751105e-12,180.83513671095625,0.0,1686.0108437023791,56.04657933131831,951.7795772645809,180.83513671095625,330.30206127156254,4.194056825130296,1.0378996172466355
15,1080,2880.1507307557004,False,994.5690303276401,0.0,0.0,1825.5741085991567,60.007591828905625,994.5690303276356,188.3364138564155,327.5101793178026,5.8889487374166345,1.0346136522225107
16,1080,2521.3347943874815,False,-3.637978807091713e-12,0.0,647.258688974253,1813.7489098628748,60.32719555035633,1042.9977593935378,177.85269911819984,323.6293444871265,4.580174014805239,1.04012406121304
17,1080,2756.152028132192,False,-3.183231456205249e-12,0.0,331.5778834887973,2370.04520619341,54.528938449982036,1060.787188707692,188.4315342234294,331.5778834887973,5.669964608118207,1.0905787689996407
