iteration,machine_cost,processing_time,resource_cost,wating_time,feasible
100,480,27,5340.0,550.0,{}
100,478,27,5480.0,620.0,{}
100,489,25,5700.0,350.0,{}
100,496,24,5600.0,460.0,{}
100,488,26,6080.0,130.0,0
100,488,27,5460.0,380.0,{}
100,486,25,5660.0,170.0,{}
100,483,26,5660.0,500.0,{}
100,476,26,5480.0,380.0,{}
100,484,27,5560.0,460.0,{}
100,480,27,5340.0,550.0,{}
100,478,27,5480.0,620.0,{}
100,489,25,5700.0,350.0,{}
100,496,24,5600.0,460.0,{}
100,488,26,6080.0,130.0,0
100,488,27,5460.0,380.0,{}
100,486,25,5660.0,170.0,{}
100,483,26,5660.0,500.0,{}
100,476,26,5480.0,380.0,{}
100,484,27,5560.0,460.0,{}
200,496,24,5960.0,170.0,0
200,500,25,5340.0,430.0,{}
200,481,27,5720.0,220.0,{}
200,485,25,5600.0,240.0,{}
200,491,27,5460.0,310.0,{}
200,493,27,5320.0,490.0,{}
200,482,24,5940.0,340.0,{}
200,498,24,5480.0,220.0,{}
200,489,24,5880.0,220.0,{}
200,475,26,5400.0,340.0,{}
200,489,24,5420.0,380.0,{}
200,491,24,5700.0,320.0,{}
200,491,23,5940.0,130.0,0
200,491,24,5680.0,120.0,{}
200,484,26,5600.0,380.0,{}
200,478,27,5700.0,230.0,{}
200,485,27,5820.0,340.0,{}
200,484,25,5560.0,200.0,{}
200,498,24,5680.0,340.0,{}
200,491,27,5300.0,390.0,{}
