iteration,machine_cost,processing_time,resource_cost,wating_time,feasible
100,481,22,5860.0,0.0,0
100,477,23,5480.0,50.0,0
100,489,23,5740.0,0.0,0
100,484,24,5580.0,200.0,0
100,488,22,5820.0,0.0,0
100,480,22,5860.0,0.0,0
100,489,22,5840.0,0.0,0
100,489,23,5740.0,0.0,0
100,480,22,5640.0,0.0,0
100,478,22,5780.0,0.0,0
100,472,22,5680.0,0.0,0
100,487,22,5940.0,0.0,0
100,486,23,5940.0,0.0,0
100,488,23,5280.0,150.0,{}
100,492,23,6020.0,0.0,0
100,480,23,6060.0,0.0,0
100,483,25,5820.0,50.0,0
100,487,22,5680.0,0.0,0
100,483,23,5220.0,200.0,{}
100,486,23,5700.0,250.0,0
200,478,22,5700.0,0.0,{}
200,485,24,5870.0,0.0,0
200,491,25,5540.0,300.0,0
200,482,24,5780.0,100.0,0
200,477,23,5440.0,100.0,0
200,483,24,5460.0,150.0,0
200,475,24,5840.0,100.0,0
200,482,22,5520.0,50.0,{}
200,486,22,5340.0,0.0,0
200,477,22,5660.0,0.0,0
200,488,23,5540.0,0.0,0
200,477,24,5560.0,200.0,0
200,485,22,5360.0,0.0,{}
200,475,24,5420.0,100.0,0
200,499,25,5620.0,50.0,{}
200,482,23,5780.0,0.0,0
200,485,23,5660.0,100.0,0
200,484,24,5480.0,200.0,0
200,489,22,5660.0,0.0,{}
200,491,24,5900.0,0.0,0
