iteration,resource_cost,wating_time,feasible
100,861.0,27.0,0
100,879.0,112.0,0
100,796.0,123.0,0
100,888.0,83.0,0
100,823.0,66.0,0
100,931.0,62.0,0
100,824.0,87.0,0
100,902.0,130.0,0
100,838.0,118.0,0
100,844.0,80.0,0
100,880.0,109.0,0
100,875.0,77.0,0
100,875.0,105.0,0
100,906.0,93.0,0
100,843.0,93.0,0
100,861.0,111.0,0
100,886.0,89.0,0
100,838.0,119.0,0
100,819.0,150.0,0
100,904.0,62.0,0
200,862.0,102.0,0
200,989.0,76.0,0
200,899.0,132.0,0
200,884.0,138.0,0
200,845.0,126.0,0
200,852.0,60.0,0
200,833.0,64.0,0
200,872.0,38.0,0
200,872.0,57.0,0
200,879.0,114.0,0
200,849.0,112.0,0
200,866.0,77.0,0
200,889.0,103.0,0
200,833.0,71.0,0
200,820.0,129.0,0
200,795.0,91.0,0
200,880.0,84.0,0
200,931.0,83.0,0
200,869.0,100.0,0
200,819.0,66.0,0
