iteration,resource_cost,wating_time,feasible
100,905.0,70.0,0
100,878.0,68.0,0
100,853.0,81.0,0
100,934.0,78.0,0
100,890.0,99.0,0
100,922.0,99.0,0
100,859.0,81.0,0
100,900.0,91.0,0
100,784.0,62.0,0
100,882.0,89.0,0
100,946.0,72.0,0
100,851.0,91.0,0
100,909.0,151.0,0
100,857.0,58.0,0
100,852.0,99.0,0
100,939.0,34.0,0
100,829.0,76.0,0
100,876.0,88.0,0
100,920.0,55.0,0
100,876.0,71.0,0
200,844.0,88.0,0
200,817.0,90.0,0
200,852.0,104.0,0
200,873.0,70.0,0
200,865.0,80.0,0
200,886.0,78.0,0
200,874.0,63.0,0
200,850.0,117.0,0
200,884.0,96.0,0
200,837.0,79.0,0
200,901.0,74.0,0
200,750.0,113.0,0
200,815.0,116.0,0
200,899.0,108.0,0
200,898.0,58.0,0
200,918.0,57.0,0
200,860.0,34.0,0
200,898.0,50.0,0
200,832.0,83.0,0
200,825.0,60.0,0
