iteration,resource_cost,wating_time,feasible
100,800.0,89.0,0
100,1017.0,45.0,0
100,902.0,71.0,0
100,817.0,84.0,0
100,978.0,70.0,0
100,977.0,34.0,0
100,931.0,32.0,0
100,956.0,70.0,0
100,992.0,45.0,0
100,860.0,71.0,0
100,913.0,78.0,0
100,974.0,79.0,0
100,954.0,97.0,0
100,928.0,64.0,0
100,1069.0,58.0,0
100,953.0,91.0,0
100,919.0,94.0,0
100,925.0,74.0,0
100,959.0,69.0,0
100,962.0,56.0,0
200,914.0,76.0,0
200,993.0,73.0,0
200,935.0,80.0,0
200,892.0,71.0,0
200,985.0,54.0,0
200,813.0,77.0,0
200,1090.0,67.0,0
200,922.0,63.0,0
200,968.0,72.0,0
200,1116.0,55.0,0
200,970.0,48.0,0
200,903.0,32.0,0
200,933.0,57.0,0
200,999.0,47.0,0
200,1053.0,47.0,0
200,984.0,62.0,0
200,1004.0,68.0,0
200,975.0,62.0,0
200,906.0,50.0,0
200,935.0,64.0,0
