iteration,resource_cost,wating_time,feasible
100,572.0,1.0,0
100,568.0,1.0,{}
100,599.0,0.0,0
100,572.0,0.0,0
100,570.0,3.0,0
100,596.0,0.0,0
100,580.0,0.0,0
100,596.0,3.0,0
100,574.0,2.0,{}
100,562.0,0.0,0
100,554.0,5.0,0
100,576.0,0.0,0
100,530.0,9.0,0
100,534.0,1.0,0
100,596.0,1.0,0
100,560.0,0.0,0
100,599.0,0.0,0
100,568.0,4.0,{}
100,570.0,5.0,0
100,562.0,6.0,0
200,574.0,0.0,0
200,574.0,0.0,0
200,565.0,0.0,0
200,562.0,2.0,0
200,602.0,0.0,0
200,546.0,0.0,0
200,546.0,1.0,0
200,558.0,0.0,0
200,558.0,2.0,0
200,560.0,0.0,0
200,580.0,0.0,0
200,572.0,0.0,0
200,534.0,7.0,0
200,550.0,3.0,0
200,554.0,2.0,0
200,548.0,2.0,0
200,560.0,3.0,"{'precedence18391940': (False, 1.0)}"
200,574.0,0.0,0
200,546.0,1.0,{}
200,580.0,0.0,0
