iteration,resource_cost,waiting_time,feasible
100,480.0,171.0,0
100,480.0,98.0,0
100,480.0,97.0,0
100,498.0,108.0,0
100,498.0,56.0,0
100,480.0,113.0,0
100,498.0,83.0,0
100,480.0,94.0,0
100,480.0,71.0,0
100,480.0,71.0,0
100,480.0,123.0,0
100,480.0,118.0,0
100,480.0,50.0,0
100,480.0,87.0,0
100,498.0,94.0,0
100,498.0,62.0,0
100,480.0,132.0,0
100,480.0,47.0,0
100,480.0,185.0,0
100,480.0,111.0,0
