iteration,mean_resource_cost,mean_waiting_time,patt,label
100,822.9,77.35,1,1_100
100,859.0,15.736842105263158,2,2_100
100,857.3,3.2,3,3_100
100,846.6,0.7,4,4_100
100,838.95,0.35,5,5_100
100,816.35,0.0,6,6_100
