iteration,mean_resource_cost,mean_waiting_time,patt,label
100,502.5,112.75,19,19_100
100,507.15384615384613,44.53846153846154,20,20_100
100,509.35,13.55,21,21_100
100,512.0,5.944444444444445,22,22_100
100,512.875,1.8125,23,23_100
100,508.8333333333333,2.0555555555555554,24,24_100
