iteration,machine_cost,processing_time,resource_cost,wating_time,feasible
100,546,10,870.0,-718.0,0
100,539,11,869.0,-721.5,"{'conflict18': (False, 1.0)}"
100,542,11,851.0,-729.5,0
100,547,10,884.0,-672.0,0
100,554,9,858.0,-690.5,"{'precedence042343': (False, 1.0)}"
100,547,10,894.0,-710.5,0
100,549,10,874.0,-688.5,"{'precedence137538': (False, 1.0)}"
100,544,10,857.0,-741.0,"{'conflict16': (False, 1.0)}"
100,540,9,825.0,-719.0,"{'precedence0637': (False, 1.0)}"
100,540,11,886.0,-763.5,0
200,548,10,898.0,-779.5,0
200,545,10,904.0,-718.0,0
200,547,10,886.0,-729.0,"{'precedence233334': (False, 1.0)}"
200,546,10,885.0,-711.5,"{'precedence331532': (False, 1.0)}"
200,545,11,869.0,-711.5,0
200,549,10,866.0,-718.5,0
200,554,10,874.0,-632.5,0
200,544,10,853.0,-768.5,0
200,548,10,845.0,-658.0,0
200,553,11,894.0,-740.0,"{'conflict7': (False, 1.0)}"
300,553,10,894.0,-745.0,"{'precedence045346': (False, 1.0)}"
300,553,9,856.0,-734.0,"{'conflict21': (False, 1.0), 'precedence231332': (False, 1.0)}"
300,553,10,882.0,-749.5,"{'precedence0324': (False, 1.0)}"
300,554,10,837.0,-692.5,"{'precedence045346': (False, 1.0)}"
300,548,10,879.0,-720.5,0
300,542,11,876.0,-747.0,0
300,550,10,880.0,-758.0,"{'precedence145346': (False, 1.0)}"
300,551,9,866.0,-704.5,0
300,545,11,870.0,-803.5,0
300,543,10,864.0,-761.0,0
