iteration,machine_cost,processing_time,resource_cost,wating_time,feasible
100,551,9,852.0,-748.5,0
100,540,10,896.0,-715.0,0
100,550,9,900.0,-725.5,"{'conflict15': (False, 1.0), 'precedence024325': (False, 1.0)}"
100,548,11,894.0,-765.0,0
100,545,10,844.0,-753.0,"{'conflict21': (False, 1.0), 'precedence036337': (False, 1.0)}"
100,544,11,878.0,-681.0,0
100,539,10,867.0,-717.5,0
100,544,11,888.0,-725.5,0
100,540,11,868.0,-739.0,"{'conflict12': (False, 1.0)}"
100,540,10,884.0,-820.5,"{'precedence1132': (False, 1.0)}"
200,548,11,884.0,-755.5,0
200,544,11,866.0,-746.0,"{'conflict15': (False, 1.0)}"
200,553,10,886.0,-764.0,"{'precedence19310': (False, 1.0)}"
200,546,10,837.0,-672.0,0
200,555,10,876.0,-739.5,"{'precedence1031': (False, 1.0)}"
200,546,10,855.0,-681.5,0
200,545,10,880.0,-783.0,0
200,549,10,878.0,-693.0,0
200,545,10,843.0,-678.5,0
200,549,11,872.0,-723.5,"{'conflict6': (False, 1.0)}"
300,541,11,872.0,-706.0,0
300,551,10,892.0,-776.0,0
300,553,10,858.0,-682.0,0
300,552,9,866.0,-777.5,0
300,544,11,858.0,-732.5,0
300,552,10,882.0,-739.0,0
300,543,11,891.0,-713.0,"{'conflict12': (False, 1.0)}"
300,548,11,888.0,-772.0,0
300,540,10,847.0,-687.0,0
300,546,11,932.0,-708.0,"{'precedence137238': (False, 1.0)}"
