iteration,machine_cost,processing_time,resource_cost,wating_time
100,407,11,645.0,-633.5
200,408,11,645.0,-537.5
300,412,10,665.0,-554.0
400,412,9,657.0,-578.0
500,406,10,631.0,-624.0
