iteration,resource_cost,waiting_time,feasible
100,1112.0,0.0,0
100,1141.0,0.0,0
100,1152.0,0.0,0
100,1112.0,0.0,0
100,1112.0,0.0,0
100,1120.0,0.0,"{'one_fired_t81': (False, 1.0)}"
100,1148.0,0.0,0
100,1152.0,0.0,0
100,1123.0,0.0,0
100,1110.0,0.0,"{'one_fired_t93': (False, 1.0), 'one_fired_t83': (False, 1.0)}"
100,1159.0,0.0,0
100,1112.0,0.0,0
100,1139.0,0.0,"{'one_fired_t81': (False, 1.0), 'one_fired_t91': (False, 1.0)}"
100,1101.0,0.0,0
100,1152.0,0.0,0
100,1076.0,0.0,0
100,1224.0,0.0,0
100,1159.0,0.0,0
100,1141.0,0.0,0
100,1188.0,0.0,0
