iteration,resource_cost,waiting_time,feasible
100,1047.0,0.0,0
100,1159.0,0.0,0
100,1120.0,0.0,"{'one_fired_t81': (False, 1.0)}"
100,1141.0,0.0,0
100,1094.0,0.0,0
100,1177.0,0.0,0
100,1131.0,0.0,"{'one_fired_t81': (False, 1.0)}"
100,1129.0,0.0,"{'one_fired_t83': (False, 1.0)}"
100,1166.0,0.0,0
100,1121.0,0.0,"{'one_fired_t81': (False, 1.0), 'one_fired_t91': (False, 1.0)}"
100,1123.0,0.0,0
100,1131.0,0.0,"{'one_fired_t41': (False, 1.0)}"
100,1094.0,0.0,0
100,1152.0,0.0,0
100,1159.0,0.0,0
100,1112.0,0.0,0
100,1131.0,0.0,"{'one_fired_t81': (False, 1.0)}"
100,1105.0,0.0,0
100,1159.0,0.0,0
100,1188.0,0.0,0
