trial,energy,sort_ans
0,1040.5803418670548,"[['x', '22', '0'], ['x', '24', '1'], ['x', '25', '2'], ['x', '14', '3'], ['x', '23', '4'], ['x', '28', '5'], ['x', '9', '6'], ['x', '6', '7'], ['x', '9', '8'], ['x', '1', '9'], ['x', '5', '10'], ['x', '8', '11'], ['x', '13', '12'], ['x', '20', '13'], ['x', '24', '14']]"
1,960.3889366588355,"[['x', '17', '0'], ['x', '19', '1'], ['x', '15', '2'], ['x', '4', '3'], ['x', '6', '4'], ['x', '12', '5'], ['x', '11', '6'], ['x', '17', '7'], ['x', '23', '8'], ['x', '3', '9'], ['x', '6', '10'], ['x', '7', '11'], ['x', '5', '12'], ['x', '10', '13'], ['x', '14', '14']]"
2,1066.2175169944421,"[['x', '10', '0'], ['x', '13', '1'], ['x', '22', '2'], ['x', '8', '3'], ['x', '15', '4'], ['x', '21', '5'], ['x', '10', '6'], ['x', '6', '7'], ['x', '8', '8'], ['x', '14', '9'], ['x', '16', '10'], ['x', '21', '11'], ['x', '17', '12'], ['x', '22', '13'], ['x', '26', '14']]"
3,897.1631891796114,"[['x', '8', '0'], ['x', '10', '1'], ['x', '13', '2'], ['x', '10', '3'], ['x', '13', '4'], ['x', '16', '5'], ['x', '6', '6'], ['x', '11', '7'], ['x', '16', '8'], ['x', '4', '9'], ['x', '8', '10'], ['x', '2', '11'], ['x', '18', '12'], ['x', '23', '13'], ['x', '29', '14']]"
4,923.0189351603003,"[['x', '1', '0'], ['x', '3', '1'], ['x', '5', '2'], ['x', '10', '3'], ['x', '20', '4'], ['x', '28', '5'], ['x', '20', '6'], ['x', '25', '7'], ['x', '27', '8'], ['x', '10', '9'], ['x', '12', '10'], ['x', '14', '11'], ['x', '12', '12'], ['x', '16', '13'], ['x', '23', '14']]"
5,951.6954439288365,"[['x', '15', '0'], ['x', '18', '1'], ['x', '7', '2'], ['x', '8', '3'], ['x', '14', '4'], ['x', '17', '5'], ['x', '7', '6'], ['x', '9', '7'], ['x', '14', '8'], ['x', '3', '9'], ['x', '8', '10'], ['x', '9', '11'], ['x', '20', '12'], ['x', '24', '13'], ['x', '28', '14']]"
6,876.8178751686046,"[['x', '21', '0'], ['x', '21', '1'], ['x', '22', '2'], ['x', '16', '3'], ['x', '18', '4'], ['x', '23', '5'], ['x', '12', '6'], ['x', '13', '7'], ['x', '3', '8'], ['x', '17', '9'], ['x', '24', '10'], ['x', '25', '11'], ['x', '1', '12'], ['x', '7', '13'], ['x', '12', '14']]"
7,778.4432634891673,"[['x', '1', '0'], ['x', '7', '1'], ['x', '10', '2'], ['x', '2', '3'], ['x', '7', '4'], ['x', '11', '5'], ['x', '11', '6'], ['x', '16', '7'], ['x', '22', '8'], ['x', '0', '9'], ['x', '1', '10'], ['x', '9', '11'], ['x', '4', '12'], ['x', '8', '13'], ['x', '14', '14']]"
8,834.4283943266346,"[['x', '17', '0'], ['x', '19', '1'], ['x', '23', '2'], ['x', '14', '3'], ['x', '16', '4'], ['x', '20', '5'], ['x', '2', '6'], ['x', '7', '7'], ['x', '10', '8'], ['x', '16', '9'], ['x', '17', '10'], ['x', '20', '11'], ['x', '8', '12'], ['x', '12', '13'], ['x', '14', '14']]"
9,865.4289054506789,"[['x', '9', '0'], ['x', '14', '1'], ['x', '17', '2'], ['x', '4', '3'], ['x', '10', '4'], ['x', '16', '5'], ['x', '19', '6'], ['x', '22', '7'], ['x', '27', '8'], ['x', '15', '9'], ['x', '17', '10'], ['x', '19', '11'], ['x', '2', '12'], ['x', '6', '13'], ['x', '13', '14']]"
10,824.3209560408686,"[['x', '10', '0'], ['x', '13', '1'], ['x', '10', '2'], ['x', '15', '3'], ['x', '21', '4'], ['x', '29', '5'], ['x', '19', '6'], ['x', '20', '7'], ['x', '22', '8'], ['x', '9', '9'], ['x', '11', '10'], ['x', '13', '11'], ['x', '14', '12'], ['x', '25', '13'], ['x', '29', '14']]"
11,956.3144654906882,"[['x', '1', '0'], ['x', '5', '1'], ['x', '9', '2'], ['x', '10', '3'], ['x', '14', '4'], ['x', '18', '5'], ['x', '9', '6'], ['x', '15', '7'], ['x', '4', '8'], ['x', '19', '9'], ['x', '20', '10'], ['x', '28', '11'], ['x', '5', '12'], ['x', '10', '13'], ['x', '15', '14']]"
12,715.2179174390876,"[['x', '20', '0'], ['x', '23', '1'], ['x', '4', '2'], ['x', '22', '3'], ['x', '24', '4'], ['x', '27', '5'], ['x', '14', '6'], ['x', '15', '7'], ['x', '17', '8'], ['x', '0', '9'], ['x', '2', '10'], ['x', '7', '11'], ['x', '11', '12'], ['x', '19', '13'], ['x', '23', '14']]"
13,997.1650034247868,"[['x', '3', '0'], ['x', '5', '1'], ['x', '9', '2'], ['x', '3', '3'], ['x', '13', '4'], ['x', '17', '5'], ['x', '0', '6'], ['x', '3', '7'], ['x', '6', '8'], ['x', '5', '9'], ['x', '9', '10'], ['x', '18', '11'], ['x', '7', '12'], ['x', '15', '13'], ['x', '19', '14']]"
14,918.4485932985335,"[['x', '5', '0'], ['x', '22', '1'], ['x', '24', '2'], ['x', '19', '3'], ['x', '21', '4'], ['x', '24', '5'], ['x', '15', '6'], ['x', '16', '7'], ['x', '21', '8'], ['x', '17', '9'], ['x', '20', '10'], ['x', '3', '11'], ['x', '19', '12'], ['x', '25', '13'], ['x', '29', '14']]"
15,955.0199797498481,"[['x', '17', '0'], ['x', '19', '1'], ['x', '21', '2'], ['x', '23', '3'], ['x', '26', '4'], ['x', '7', '5'], ['x', '8', '6'], ['x', '14', '7'], ['x', '16', '8'], ['x', '20', '9'], ['x', '21', '10'], ['x', '25', '11'], ['x', '5', '12'], ['x', '4', '13'], ['x', '10', '14']]"
16,841.5211704436206,"[['x', '20', '0'], ['x', '28', '1'], ['x', '29', '2'], ['x', '20', '3'], ['x', '22', '4'], ['x', '22', '5'], ['x', '12', '6'], ['x', '3', '7'], ['x', '6', '8'], ['x', '10', '9'], ['x', '12', '10'], ['x', '14', '11'], ['x', '0', '12'], ['x', '6', '13'], ['x', '12', '14']]"
17,1063.8885574844626,"[['x', '10', '0'], ['x', '23', '1'], ['x', '27', '2'], ['x', '0', '3'], ['x', '5', '4'], ['x', '7', '5'], ['x', '24', '6'], ['x', '27', '7'], ['x', '19', '8'], ['x', '12', '9'], ['x', '13', '10'], ['x', '14', '11'], ['x', '0', '12'], ['x', '7', '13'], ['x', '11', '14']]"
18,901.6325955668672,"[['x', '6', '0'], ['x', '11', '1'], ['x', '12', '2'], ['x', '6', '3'], ['x', '16', '4'], ['x', '18', '5'], ['x', '19', '6'], ['x', '24', '7'], ['x', '26', '8'], ['x', '18', '9'], ['x', '18', '10'], ['x', '17', '11'], ['x', '9', '12'], ['x', '13', '13'], ['x', '18', '14']]"
19,951.9963868824198,"[['x', '4', '0'], ['x', '4', '1'], ['x', '5', '2'], ['x', '5', '3'], ['x', '2', '4'], ['x', '4', '5'], ['x', '23', '6'], ['x', '14', '7'], ['x', '21', '8'], ['x', '17', '9'], ['x', '18', '10'], ['x', '19', '11'], ['x', '8', '12'], ['x', '10', '13'], ['x', '14', '14']]"
20,976.279286282379,"[['x', '16', '0'], ['x', '20', '1'], ['x', '29', '2'], ['x', '21', '3'], ['x', '13', '4'], ['x', '16', '5'], ['x', '10', '6'], ['x', '13', '7'], ['x', '17', '8'], ['x', '18', '9'], ['x', '19', '10'], ['x', '21', '11'], ['x', '10', '12'], ['x', '21', '13'], ['x', '27', '14']]"
21,883.7260619401768,"[['x', '10', '0'], ['x', '12', '1'], ['x', '8', '2'], ['x', '25', '3'], ['x', '15', '4'], ['x', '21', '5'], ['x', '2', '6'], ['x', '7', '7'], ['x', '13', '8'], ['x', '17', '9'], ['x', '18', '10'], ['x', '21', '11'], ['x', '4', '12'], ['x', '13', '13'], ['x', '18', '14']]"
