trial,num_qubits,energy,feasible,SubH1,SubH2,SubH3,SubH4,SubH5,A,B,C,E
0,450,697.8944724765861,False,-1.1368683772161603e-12,0.0,228.05143889099844,310.0,159.84303358558333,849.6181675663909,197.92083529454223,228.05143889099844,17.760337065064814
1,450,872.2781467554341,False,-1.1368683772161603e-12,0.0,227.04050780147168,310.0,335.23763895396064,793.833553969386,201.29166371421425,227.04050780147168,18.624313275220036
2,450,692.2711710825879,False,1.1368683772161603e-12,0.0,0.0,310.0,382.2711710825896,787.1735551650338,174.46765784819502,266.9658797644778,21.23728728236609
3,450,774.6268458240374,False,1.1368683772161603e-12,0.0,0.0,310.0,464.6268458240329,761.8336819416166,164.24109304842054,220.50707882318525,18.585073832961317
4,450,756.4686626809089,False,-9.094947017729282e-13,0.0,219.44390048304325,310.0,227.02476219786837,781.2905857989672,164.36767337515946,109.72195024152163,16.216054442704884
5,450,738.0976833530276,False,9.094947017729282e-13,0.0,0.0,310.0,428.0976833530241,729.1360827275867,170.64507067536024,286.51344660988775,20.38560396919162
6,450,682.943144770421,False,3.183231456205249e-12,0.0,0.0,310.0,372.94314477041814,833.8887034734475,275.8070274573984,248.7980070287933,20.71906359835656
7,450,582.5148440655958,True,0.0,0.0,0.0,310.0,272.5148440655956,893.0786404339051,240.33858334498493,275.41859398627355,17.032177754099724
8,450,722.4468784006094,False,2.0463630789890885e-12,0.0,167.14339882165575,310.0,245.30347957895202,714.480746308602,271.5701745504433,167.14339882165575,24.530347957895202
9,450,817.3769782269501,False,-2.0463630789890885e-12,0.0,289.73805879450947,310.0,217.63891943244158,776.234916544832,292.47620315287554,289.73805879450947,19.785356312040147
10,450,850.2675930172845,False,1.1368683772161603e-12,0.0,333.88183658172176,310.0,206.38575643556447,833.126974409791,156.9948309154313,166.94091829086088,22.93175071506272
11,450,821.8484403173243,False,2.0463630789890885e-12,0.0,419.6999082628686,310.0,92.14853205445368,720.9579291817902,297.4096823661485,209.8499541314343,18.429706410890738
12,450,681.1439362527271,False,2.2737367544323206e-13,0.0,0.0,310.0,371.1439362527212,867.8787616468261,164.00606123979315,237.17792687346727,17.673520773939103
13,450,992.1589595986279,False,1.1368683772161603e-12,0.0,237.84388960937562,310.0,444.3150699892559,888.1264216842821,265.9985574314633,237.84388960937562,24.684170554958662
14,450,927.2330075688878,False,1.1368683772161603e-12,0.0,0.0,310.0,617.2330075688848,799.9209314104922,177.67492688390388,186.6865832861608,15.826487373561148
15,450,846.1828770983848,False,2.2737367544323206e-13,0.0,228.548048439968,310.0,307.634828658411,854.9473302889718,230.7918583006243,228.548048439968,20.5089885772274
16,450,578.4571263653615,False,-6.821210263296962e-13,0.0,0.0,310.0,268.45712636536155,733.8725675651584,254.4601025754361,244.84194141835823,16.778570397835097
17,450,810.0621141629381,False,2.0463630789890885e-12,0.0,0.0,310.0,500.0621141629359,884.5664661672656,293.67535642181554,274.26390888841894,17.243521178032275
18,450,533.2528214571521,False,2.7284841053187847e-12,0.0,0.0,310.0,223.25282145714814,715.5595450660735,294.22556798806573,149.78057527451156,15.94663010408201
19,450,851.9466375964639,False,-2.2737367544323206e-13,153.78657181022285,0.0,310.0,388.1600657862391,705.1258088886722,153.78657181022285,191.45746097831855,16.8765245994017
20,450,772.5100110915246,False,1.1368683772161603e-12,0.0,259.17807632654194,310.0,203.33193476497834,798.3128948370289,201.70788483647988,129.58903816327097,22.592437196108705
21,450,873.8886758319823,False,1.1368683772161603e-12,0.0,254.10813640782186,310.0,309.7805394241634,896.6820402616461,285.75869030405727,254.10813640782186,23.829272263397186
22,450,643.0167812180916,False,-1.5916157281026244e-12,0.0,0.0,310.0,333.0167812180957,845.9902430980598,261.7663836764001,209.7926195514746,20.813548826130976
23,450,746.4512651461773,False,6.821210263296962e-13,0.0,0.0,310.0,436.451265146177,700.1555790878994,199.54379858400196,299.16397402436405,24.247292508120943
24,450,935.5371192875264,False,2.2737367544323206e-13,183.98471135830908,149.5452374122404,310.0,292.00717051697694,884.667258690686,183.98471135830908,149.5452374122404,18.25044815731106
25,450,935.6656341883445,False,-3.183231456205249e-12,0.0,0.0,310.0,625.6656341883499,889.1518931096393,155.4108184162639,273.0279042436041,20.18276239317258
26,450,895.9968407342931,False,9.094947017729282e-13,0.0,0.0,310.0,585.9968407342894,862.0899874166944,247.81838486016284,235.86352704743445,24.41653503059539
27,450,811.3344719032266,False,6.821210263296962e-13,0.0,0.0,310.0,501.3344719032273,709.5610331809277,270.9778242674678,232.62577709958322,17.287395582869905
28,450,872.3671144082928,False,-1.1368683772161603e-12,0.0,144.06420021526264,310.0,418.3029141930275,800.3603863186006,192.83365164587377,144.06420021526264,23.23905078850153
29,450,654.8538235030319,False,-1.5916157281026244e-12,0.0,152.84503842494792,310.0,192.00878507808451,769.4862560331384,284.2329078005537,152.84503842494792,16.000732089840376
30,450,946.3275297216096,False,1.1368683772161603e-12,0.0,390.1553795961094,310.0,246.17215012550332,883.3092760673164,271.0184305049107,130.05179319870314,16.411476675033555
31,450,599.4848886264572,True,0.0,0.0,0.0,310.0,289.48488862645644,845.6445429876658,290.0368429404384,240.79553362558198,16.082493812580914
32,450,750.159881113128,False,-2.0463630789890885e-12,0.0,354.2374677181529,310.0,85.92241339497602,725.6148129528717,283.2310634843979,177.11873385907646,17.184482678995202
33,450,904.8222026981384,False,-1.1368683772161603e-12,0.0,281.82832065928733,310.0,312.99388203885337,887.7707546568452,274.8033603636883,140.91416032964366,20.866258802590224
34,450,852.5068503037437,False,1.1368683772161603e-12,0.0,0.0,310.0,542.5068503037393,762.0252630460385,275.015735951613,199.42841923327506,18.707132769094457
35,450,788.6147616140534,False,-1.1368683772161603e-12,0.0,223.42848519217924,310.0,255.1862764218708,884.0695949086828,254.2494201652451,223.42848519217924,23.198752401988255
36,450,722.1064848527003,False,1.1368683772161603e-12,0.0,0.0,310.0,412.10648485269616,813.3963775967535,198.68460783519902,111.85766126138381,17.171103535529006
37,450,763.446674015544,False,-1.1368683772161603e-12,0.0,0.0,310.0,453.44667401554034,881.8423702591961,292.1683389331811,259.05492460486164,23.865614421870546
38,450,882.3302581869739,False,-3.183231456205249e-12,0.0,170.50348684380174,310.0,401.82677134317726,877.5044386766563,272.11004963405856,170.50348684380174,23.636868902539838
39,450,759.363808668526,False,-1.5916157281026244e-12,0.0,252.5222567976259,310.0,196.84155187090386,836.7689332496499,150.06434947493815,126.26112839881294,16.403462655908655
40,450,663.9770828583896,False,1.1368683772161603e-12,0.0,130.14232831458838,310.0,223.83475454380266,797.1147129834601,201.2580301086441,130.14232831458838,22.383475454380267
41,450,1046.9367880989812,False,-9.094947017729282e-13,171.61404221836176,281.3801544618085,310.0,283.94259141881435,710.2723124590916,171.61404221836176,281.3801544618085,23.66188261823453
42,450,744.598712629615,False,-2.2737367544323206e-13,0.0,245.10736449359953,310.0,189.49134813601282,790.1901947199009,270.1868603086142,245.10736449359953,17.226486194182986
43,450,843.3722000192702,False,2.2737367544323206e-13,0.0,144.4753984482336,310.0,388.8968015710332,815.8053238178226,230.04657668521074,144.4753984482336,16.90855659004492
44,450,905.0623640526792,False,0.0,0.0,234.7857223599627,310.0,360.27664169271657,810.4322031528391,229.19484990230364,234.7857223599627,24.018442779514437
45,450,710.3858146942166,False,-9.094947017729282e-13,0.0,165.07030682357362,310.0,235.3155078706466,811.9623481350709,239.54766448739997,165.07030682357362,15.687700524709774
46,450,965.254590593293,False,-1.5916157281026244e-12,0.0,376.99745079959456,310.0,278.25713979369766,884.0246078344425,164.37944709826803,188.49872539979728,19.875509985264117
