iteration,mean_resource_cost,mean_wating_time,patt,label
100,613.0833333333334,0.9166666666666666,7,7_100
100,605.1111111111111,2.3333333333333335,8,8_100
100,606.5714285714286,6.642857142857143,9,9_100
100,614.6363636363636,12.636363636363637,10,10_100
100,614.3333333333334,27.0,11,11_100
100,650.0,90.5,12,12_100
