iteration,machine_cost,processing_time,resource_cost,wating_time,feasible
100,508,29,0.01014,0.69,0
100,527,27,0.009419999999999998,0.52,0
100,539,29,0.01005,0.79,0
100,509,28,0.008640000000000002,0.33,0
100,546,28,0.010069999999999999,0.73,0
100,506,27,0.00898,0.57,0
100,538,29,0.010269999999999994,1.11,0
100,513,27,0.009629999999999994,0.29000000000000004,0
100,510,23,0.00867,0.11,0
100,530,27,0.00957,0.7100000000000001,0
100,518,28,0.009149999999999998,0.4700000000000001,0
100,524,29,0.009859999999999997,0.42,0
100,531,28,0.010239999999999997,0.8000000000000002,0
100,536,28,0.009919999999999997,0.84,0
100,537,28,0.010280000000000001,0.54,0
100,529,26,0.00881,0.52,0
100,557,27,0.011219999999999999,0.56,0
100,544,28,0.010359999999999996,0.62,0
100,520,28,0.009439999999999999,0.44999999999999996,0
100,537,26,0.0095,0.68,0
200,519,28,0.010119999999999999,0.6100000000000001,0
200,511,27,0.008270000000000001,0.5800000000000001,0
200,545,27,0.010360000000000001,0.62,0
200,521,27,0.00869,0.46,0
200,534,28,0.01032,0.73,0
200,521,25,0.009759999999999998,0.33,0
200,519,26,0.009700000000000004,0.43,0
200,524,27,0.009800000000000003,0.6799999999999999,0
200,525,29,0.009900000000000004,1.04,0
200,535,27,0.009949999999999999,0.5,0
200,528,28,0.00882,0.4,0
200,537,27,0.010059999999999998,0.74,0
200,526,28,0.010010000000000002,0.36000000000000004,0
200,544,28,0.00969,0.47,0
200,517,27,0.009719999999999996,0.4,0
200,535,25,0.010369999999999997,0.6900000000000001,0
200,523,25,0.009559999999999997,0.45,0
200,516,26,0.008520000000000003,0.44,0
200,540,27,0.01067,0.45000000000000007,0
200,510,28,0.008699999999999998,0.53,0
