iteration,machine_cost,processing_time,resource_cost,wating_time,feasible
100,489,23,9960.0,30.0,0
100,496,25,9920.0,30.0,0
100,487,23,9920.0,150.0,0
100,485,23,9880.0,60.0,0
100,492,24,9840.0,30.0,0
100,490,26,9800.0,210.0,0
100,487,23,9920.0,120.0,0
100,490,23,9800.0,120.0,0
100,487,22,9920.0,0.0,0
100,484,25,9880.0,90.0,0
100,484,21,10040.0,0.0,0
100,482,22,10000.0,0.0,0
100,492,24,9840.0,90.0,0
100,489,24,9960.0,90.0,0
100,487,22,10120.0,0.0,0
100,494,24,9880.0,120.0,0
100,492,24,9840.0,180.0,0
100,480,23,9960.0,0.0,0
100,485,24,9880.0,150.0,0
100,482,24,10000.0,60.0,0
200,492,23,9840.0,0.0,0
200,490,25,9800.0,180.0,0
200,487,22,9920.0,0.0,0
200,494,23,9880.0,30.0,0
200,490,23,9800.0,120.0,0
200,496,24,9920.0,30.0,0
200,490,22,9800.0,0.0,0
200,481,24,9800.0,60.0,0
200,493,22,10040.0,0.0,0
200,489,22,9960.0,0.0,0
200,482,23,10000.0,0.0,0
200,492,23,9840.0,60.0,0
200,489,22,9960.0,0.0,0
200,492,25,9840.0,90.0,0
200,485,22,9880.0,0.0,0
200,490,27,9800.0,150.0,0
200,487,23,9920.0,0.0,0
200,494,23,9880.0,30.0,0
200,485,24,9880.0,120.0,0
200,494,26,9880.0,120.0,0
