iteration,machine_cost,processing_time,resource_cost,wating_time,feasible
100,514,28,0.007880000000000002,0.00129,0
100,495,28,0.008870000000000001,0.0008200000000000002,0
100,510,28,0.008479999999999998,0.0007100000000000001,0
100,512,29,0.008209999999999999,0.00101,0
100,493,27,0.008170000000000002,0.00092,0
100,497,28,0.008039999999999999,0.00071,0
100,513,28,0.008759999999999999,0.0011500000000000002,0
100,497,28,0.008499999999999999,0.0005600000000000001,0
100,512,27,0.008439999999999998,0.00114,0
100,520,29,0.009069999999999998,0.00072,0
100,530,29,0.009279999999999998,0.0010400000000000001,0
100,525,28,0.009310000000000002,0.00109,0
100,520,27,0.008679999999999998,0.0009200000000000002,0
100,522,28,0.009030000000000002,0.00116,0
100,514,28,0.00873,0.0009600000000000001,0
100,530,27,0.008940000000000002,0.0007300000000000001,0
100,515,28,0.009660000000000002,0.0004900000000000001,0
100,528,27,0.009079999999999996,0.00048000000000000007,0
100,532,27,0.00918,0.0006200000000000001,0
100,509,28,0.009179999999999999,0.0007300000000000002,{}
200,503,28,0.007960000000000004,0.0007400000000000001,0
200,521,28,0.00899,0.0003600000000000001,0
200,499,29,0.008660000000000003,0.0007400000000000001,0
200,508,28,0.0087,0.0010000000000000002,0
200,501,29,0.008990000000000003,0.0010800000000000002,0
200,518,27,0.008579999999999997,0.00042,0
200,527,28,0.009020000000000004,0.0006399999999999999,0
200,518,27,0.009130000000000001,0.00046,0
200,524,27,0.008790000000000003,0.00099,0
200,518,28,0.008779999999999998,0.00039000000000000005,0
200,534,25,0.00894,0.00039000000000000005,0
200,520,26,0.007920000000000002,0.00104,0
200,501,28,0.008259999999999998,0.0007400000000000001,0
200,511,28,0.008959999999999997,0.0006200000000000001,0
200,542,26,0.009740000000000002,0.00030000000000000003,0
200,518,27,0.00799,0.00098,0
200,528,28,0.008419999999999999,0.0009100000000000001,0
200,507,29,0.00833,0.0006900000000000001,0
200,524,27,0.00828,0.0005600000000000001,0
200,523,29,0.008899999999999998,0.0007300000000000001,0
