iteration,machine_cost,processing_time,resource_cost,wating_time,feasible
100,530,26,1038.0,55.0,0
100,479,27,744.0,50.0,{}
100,516,28,939.0,38.0,0
100,515,27,793.0,63.0,0
100,525,25,857.0,69.0,0
100,500,28,758.0,60.0,0
100,517,25,865.0,65.0,0
100,520,27,849.0,55.0,0
100,532,28,941.0,72.0,0
100,496,26,800.0,59.0,0
100,541,28,993.0,32.0,0
100,507,27,847.0,78.0,0
100,520,27,728.0,85.0,{}
100,498,29,884.0,39.0,0
100,519,29,847.0,68.0,0
100,523,28,936.0,93.0,0
100,526,26,902.0,74.0,0
100,539,27,932.0,82.0,0
100,521,28,939.0,90.0,0
100,507,27,840.0,84.0,0
200,522,28,878.0,101.0,0
200,509,27,809.0,79.0,0
200,526,28,875.0,19.0,0
200,519,27,889.0,60.0,0
200,519,29,871.0,49.0,0
200,520,27,884.0,65.0,0
200,491,29,777.0,107.0,0
200,519,27,833.0,48.0,0
200,501,29,859.0,70.0,0
200,531,27,910.0,80.0,0
200,531,27,845.0,50.0,0
200,525,27,864.0,83.0,0
200,501,26,835.0,84.0,0
200,494,26,843.0,68.0,0
200,519,29,828.0,69.0,0
200,509,28,830.0,76.0,0
200,522,27,892.0,71.0,0
200,518,29,819.0,83.0,0
200,509,27,840.0,76.0,0
200,516,28,825.0,48.0,0
